Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1656.5791980647707,OUT049
FDW14,1290.1717296132524,OUT017
NCN55,554.4343912965719,OUT010
FDQ58,2253.0052798934494,OUT017
FDY38,6133.7610839148165,OUT027
FDH56,1994.583182079304,OUT046
FDL48,607.725655430752,OUT018
FDC48,2174.272282842059,OUT027
FDN33,1479.1938607741986,OUT045
FDA36,3064.259621219782,OUT017
FDT44,1875.2649762760186,OUT017
FDQ56,1657.2087123005422,OUT045
NCC54,653.6148903687266,OUT019
FDU11,1946.5219107809141,OUT049
DRL59,750.217885724853,OUT013
FDM24,2403.2012411780584,OUT049
FDI57,2990.855765515338,OUT045
DRC12,2990.2128434043034,OUT018
NCM42,2643.308617116626,OUT027
FDA46,480.35665578457514,OUT010
FDA31,2741.4119896512993,OUT013
NCJ31,3823.515149264343,OUT035
FDG52,750.1092073622672,OUT046
NCL19,320.47990392318565,OUT019
FDS10,3094.601350728247,OUT035
FDX22,476.129213814111,OUT010
NCF19,754.1940082366789,OUT035
NCE06,2274.9669915443856,OUT046
DRC27,3821.8050032857036,OUT046
FDE21,2064.433199380477,OUT035
NCR42,60.63175415358215,OUT019
FDX51,2809.476924025412,OUT018
NCR06,561.7384284827501,OUT018
FDU31,5315.988182527436,OUT027
FDU59,2307.7096105501105,OUT017
FDR03,4773.241867399487,OUT027
FDS49,2641.3094990981594,OUT027
FDD48,318.8706460219451,OUT010
NCF18,3201.617279692486,OUT017
NCD43,2412.0150454710442,OUT027
NCD54,1648.3140280697316,OUT018
FDY19,276.23654013518995,OUT010
NCY54,2787.4305315379906,OUT017
NCL19,2181.7824999391437,OUT018
FDP23,407.8949548989347,OUT010
FDC26,1678.087088803944,OUT013
FDR14,164.92681002916603,OUT010
NCS41,3162.069563007262,OUT035
FDF41,3981.1701578509133,OUT035
FDU34,2094.8514960288667,OUT046
DRH11,887.3163106623509,OUT046
FDM03,1870.4211328004562,OUT013
FDS31,3129.7189091672235,OUT017
FDJ20,1818.5162283823813,OUT017
FDV44,4798.923797926226,OUT027
FDG02,3294.984799473292,OUT049
FDA09,3120.544043561434,OUT013
FDT04,613.4155416260069,OUT013
FDL58,670.7228929894982,OUT019
FDE52,1334.1449837958182,OUT045
FDW12,2802.1682361007674,OUT035
FDL51,3763.2654095661246,OUT017
NCY42,3068.263952538722,OUT027
FDR07,1587.1929014077518,OUT017
FDN40,2270.3393592698335,OUT045
FDB35,2256.3833553709314,OUT027
FDA22,2601.5611409587073,OUT017
NCL06,3930.9145277279395,OUT046
FDI35,3377.6986349951744,OUT013
NCW42,3779.6009650611895,OUT045
NCX06,3148.3317372720117,OUT049
FDC37,2560.4867711349025,OUT027
FDZ14,1821.2425190891604,OUT018
DRG49,4407.9932865206565,OUT049
NCG06,3932.8221286179923,OUT045
DRC36,2787.0634221387536,OUT045
FDV21,365.1699733658606,OUT019
FDB53,2657.102200721535,OUT046
DRP47,671.0288566828025,OUT019
FDA14,2562.6846217195616,OUT013
DRC24,2604.247781678846,OUT035
FDW21,1623.9318687487682,OUT018
NCH29,1602.067387402009,OUT046
FDU58,3290.398246861831,OUT013
FDY27,2857.2754767497318,OUT017
FDV56,1795.2130260295792,OUT035
FDT59,3832.9223802250417,OUT046
FDB23,3389.6073097731046,OUT046
FDR49,843.9454853891032,OUT045
FDB03,592.0425308199206,OUT010
FDN39,2935.4846946200782,OUT045
FDX02,5430.2784566783075,OUT027
FDQ16,2623.4544770647053,OUT027
FDU35,1490.1615727022167,OUT018
NCT29,1954.721527769892,OUT013
FDZ27,829.4820047976604,OUT046
FDN57,1889.3871059274536,OUT017
FDA03,2211.8305335612818,OUT018
FDZ36,3246.9707962625316,OUT045
NCU05,1333.5239066267693,OUT013
FDT39,2278.5435402385147,OUT018
